first_name,last_name,position,position_label,team_abbreviation,age,overall_rating,dev_trait,speed,strength,awareness,throw_accuracy,throw_power,catching,route_running,tackle_rating,coverage,pass_rush,kickpower,kickaccuracy,runblocking,passblocking,annual_salary,years_remaining
Bilal,Nichols,DL,DL,ARI,28,74,Normal,73,87,74,6,23,44,30,85,24,78,17,10,45,45,,
Wyatt,Teller,OL,OL,CLE,30,79,Star,72,93,87,23,40,36,17,50,10,42,18,12,81,76,8.0,1
Mike,White,QB,QB,BUF,30,65,Normal,69,54,64,80,85,31,17,26,14,18,18,15,22,19,,
Matt,Pryor,OL,OL,PHI,30,72,Normal,60,86,77,6,19,23,8,27,11,28,17,13,75,76,1.49,1
Braxton,Berrios,WR,WR,HOU,29,73,Normal,90,55,76,10,19,84,74,25,22,24,18,13,39,34,1.3,1
Jordan,Mailata,OL,OL,PHI,28,96,Superstar,74,97,97,6,39,57,25,52,14,58,18,13,97,93,22.0,2
Zaire,Franklin,LB,LB,IND,29,80,Star,84,80,83,6,22,61,8,88,58,86,20,20,45,45,9.01,1
Will,Clapp,OL,OL,NO,29,65,Normal,72,80,78,6,14,24,10,26,10,18,19,14,68,71,,
Greg,Joseph,K,K,SF,31,71,Normal,73,41,55,32,29,34,10,33,12,16,95,74,24,16,,
Ezekiel,Turner,LB,LB,DET,29,57,Normal,86,63,58,6,25,61,25,70,62,69,16,14,35,35,,
Evan,Brown,OL,OL,ARI,28,76,Normal,69,90,83,5,24,25,9,35,13,26,17,12,75,77,2.5,1
Allen,Lazard,WR,WR,NYJ,29,77,Normal,88,71,83,10,21,85,78,34,20,28,18,13,59,45,,
Trent,Scott,OL,OL,WAS,31,57,Normal,68,80,65,6,22,27,10,28,12,26,18,19,65,61,,
Kyle,Allen,QB,QB,DET,29,60,Normal,81,53,62,78,84,24,16,28,15,20,18,15,16,17,2.05,1
Tanner,Hudson,TE,TE,CIN,30,66,Normal,82,70,70,10,30,82,60,32,18,28,21,19,61,56,1.35,1
Matt,Dickerson,DL,DL,MIA,29,65,Normal,72,81,63,6,13,30,6,79,28,74,14,12,45,45,1.45,1
Aaron,Stinnie,OL,OL,NYG,31,69,Normal,70,83,82,6,21,35,8,29,12,18,16,12,71,75,1.49,1
Tremaine,Edmunds,LB,LB,CHI,27,80,Star,86,75,85,6,18,74,10,86,68,86,20,14,45,45,12.0,2
Justin,Jones,DL,DL,ARI,29,74,Normal,72,84,85,6,23,25,9,79,24,78,17,12,45,45,,
Alex,Cappa,OL,OL,LV,30,71,Normal,68,85,83,6,16,51,25,43,12,32,21,18,74,70,,
Robert,Spillane,LB,LB,NE,29,82,Star,87,71,90,6,21,74,10,89,68,86,18,12,45,45,11.0,2
Jamarco,Jones,OL,OL,DET,29,63,Normal,58,80,68,6,17,20,8,31,12,27,15,12,68,70,,
Mark,Andrews,TE,TE,BAL,30,91,Superstar,87,81,91,10,25,90,78,27,14,28,12,10,68,54,13.09,2
Oren,Burks,LB,LB,CIN,30,70,Normal,87,72,73,6,16,70,10,81,66,82,18,13,45,45,2.5,1
Kolton,Miller,OL,OL,LV,29,87,Star,74,88,94,6,12,22,12,31,14,28,10,12,82,88,22.0,2
Nathan,Shepherd,DL,DL,NO,31,74,Normal,73,90,75,6,30,33,6,82,24,76,16,12,45,45,4.26,1
Brandon,Parker,OL,OL,ATL,29,67,Normal,60,84,78,6,22,22,8,31,14,30,17,12,75,67,1.22,1
Michael,Gallup,WR,WR,WAS,29,72,Normal,88,68,75,15,25,83,74,32,18,30,19,15,48,28,,
Chukwuma,Okorafor,OL,OL,NYJ,28,67,Normal,67,85,71,6,18,24,11,28,12,28,18,13,74,73,1.49,1
Mason,Rudolph,QB,QB,PIT,30,67,Normal,74,66,69,80,86,40,20,31,13,24,20,16,17,14,3.75,1
Vita,Vea,DL,DL,TB,30,93,Star,74,98,90,16,24,40,21,93,32,86,15,16,52,45,17.75,3
Christian,Kirk,WR,WR,HOU,28,81,Normal,90,65,79,34,47,90,84,30,17,28,18,14,47,34,3.0,1
Harrison,Phillips,DL,DL,MIN,29,78,Normal,70,93,73,6,26,27,9,87,23,79,17,11,45,45,7.5,1
Chris,Board,LB,LB,NYG,30,65,Normal,87,69,66,6,20,55,12,80,60,78,18,16,42,30,,
Nick,Chubb,RB,RB,HOU,29,87,Superstar,88,86,81,20,26,68,48,29,14,35,17,12,37,66,,
Jason,Sanders,K,K,MIA,29,77,Normal,77,37,65,22,26,46,17,27,14,20,93,83,17,17,1.3,1
Lamar,Jackson,QB,QB,BAL,28,99,Superstar,96,63,97,93,93,64,16,35,12,32,12,19,14,13,52.0,4
Jerome,Baker,LB,LB,CLE,28,77,Normal,89,74,79,6,22,66,15,84,68,82,18,12,45,45,,
Durham,Smythe,TE,TE,CHI,30,70,Normal,81,75,75,10,25,86,61,28,12,18,19,14,62,60,3.0,1
B.J.,Hill,DL,DL,CIN,30,77,Star,73,88,72,6,19,43,9,88,25,81,18,12,45,45,11.0,2
Josh,Woods,LB,LB,ATL,29,63,Normal,84,64,73,6,15,60,10,74,59,78,14,12,45,45,,
Joe,Noteboom,OL,OL,BAL,30,70,Normal,71,87,79,6,17,20,8,31,12,32,15,12,71,74,,
John,Franklin-Myers,DL,DL,DEN,28,80,Star,78,90,84,9,20,38,10,84,29,82,16,12,45,45,21.0,2
Ogbo,Okoronkwo,DL,DL,PHI,30,72,Normal,81,83,77,5,19,41,15,77,48,80,15,10,45,45,,
Sebastian,Joseph-Day,DL,DL,TEN,30,78,Normal,74,86,80,6,10,21,9,85,23,77,8,6,45,45,5.5,1
Fred,Warner,LB,LB,SF,28,97,Superstar,88,80,99,6,14,78,10,91,82,92,13,10,45,45,21.0,2
Derrick,Nnadi,DL,DL,NYJ,29,75,Star,73,88,85,6,24,25,9,82,24,79,17,12,45,45,1.49,1
DJ,Moore,WR,WR,CHI,28,86,Superstar,91,66,84,27,43,91,82,30,21,27,18,13,56,30,,
Mike,Gesicki,TE,TE,CIN,29,79,Star,84,76,73,10,50,88,68,30,12,38,18,14,58,57,8.5,2
Braden,Smith,OL,OL,IND,29,83,Star,67,92,91,6,22,19,8,55,14,44,14,14,90,77,10.0,1
Calvin,Ridley,WR,WR,TEN,30,81,Normal,93,59,78,23,32,82,80,29,21,26,19,16,52,30,17.62,1
Taven,Bryan,DL,DL,CIN,29,71,Normal,77,88,69,10,22,31,6,81,26,80,18,13,45,45,,
Saquon,Barkley,RB,RB,PHI,28,99,Star,95,81,99,35,41,74,70,28,14,26,19,14,36,60,20.6,1
Mike,McGlinchey,OL,OL,DEN,30,82,Star,71,88,89,6,11,28,12,32,12,32,15,12,88,77,17.5,4
KhaDarel,Hodge,WR,WR,ATL,31,71,Normal,90,60,76,41,57,83,76,31,19,44,20,16,49,35,,
Baker,Mayfield,QB,QB,TB,30,85,Star,86,69,85,88,94,64,20,32,11,29,20,16,29,16,33.33,2
Josh,Allen,QB,QB,BUF,29,99,X-Factor,88,81,96,92,98,40,18,32,15,22,22,14,17,14,55.0,5
Dante,Pettis,WR,WR,NO,29,70,Normal,88,50,60,34,44,80,70,30,20,24,20,14,45,28,,
Sam,Darnold,QB,QB,SEA,28,77,Star,81,60,74,87,88,37,12,36,30,34,18,14,25,19,33.5,2
Roquan,Smith,LB,LB,BAL,28,94,Superstar,86,80,91,8,25,72,12,99,72,93,14,22,45,45,20.0,4
John,Wolford,QB,QB,JAX,29,60,Normal,80,55,62,74,83,38,26,37,23,28,20,18,19,17,,
Steven,Sims,WR,WR,SEA,28,68,Normal,90,53,68,22,34,79,70,24,19,30,17,16,46,40,,
Fred,Johnson,OL,OL,JAX,28,62,Normal,63,85,72,6,12,24,12,31,12,32,14,13,71,64,2.1,1
Brett,Rypien,QB,QB,MIN,29,57,Normal,76,52,62,75,83,46,20,31,13,24,21,18,16,17,,
Calvin,Anderson,OL,OL,PIT,29,64,Normal,65,85,77,6,25,30,8,30,14,34,24,22,66,67,,
Jakobi,Meyers,WR,WR,LV,28,83,Star,89,62,82,52,75,94,80,39,28,36,45,31,51,37,20.0,2
Rashan,Gary,DL,DL,GB,27,82,Star,85,83,87,6,23,30,10,87,44,82,10,10,45,45,16.0,1
Alexander,Mattison,RB,RB,MIA,27,76,Normal,86,74,81,16,25,68,53,35,18,33,15,13,36,57,,
Maxx,Crosby,DL,DL,LV,28,96,Star,86,85,96,6,22,41,20,96,44,93,17,12,45,45,35.5,2
Justice,Hill,RB,RB,BAL,27,77,Normal,90,67,81,17,24,77,60,25,14,22,14,10,30,57,3.0,1
Ben,Powers,OL,OL,DEN,28,74,Normal,70,82,88,6,25,37,10,38,12,30,11,11,77,77,13.0,3
Foster,Moreau,TE,TE,NO,28,72,Normal,82,76,72,15,25,86,62,33,14,36,17,13,62,61,3.15,1
Dre,Greenlaw,LB,LB,DEN,28,86,Star,85,72,91,6,20,71,26,90,76,91,18,12,45,45,6.0,1
Hunter,Renfrow,WR,WR,CAR,29,73,Normal,87,61,74,35,44,85,76,48,37,50,42,34,44,35,,
E.J.,Speed,LB,LB,HOU,30,76,Star,88,74,80,6,24,66,34,82,58,86,18,16,45,45,5.0,1
Justin,Skule,OL,OL,MIN,28,67,Normal,65,85,72,6,18,28,14,32,12,36,20,22,72,70,1.4,1
Olisaemeka,Udoh,OL,OL,TEN,28,67,Normal,70,87,74,6,18,21,10,34,16,32,12,11,72,67,1.4,1
Ty,Summers,LB,LB,NYG,29,63,Normal,89,77,54,55,70,50,10,78,52,80,19,14,45,45,,
Jackson,Barton,OL,OL,CLE,30,57,Normal,66,85,59,6,16,37,16,40,12,35,21,11,63,63,,
Demetrius,Flannigan-Fowles,LB,LB,NYG,29,62,Normal,86,65,66,6,27,67,30,74,62,78,28,24,30,30,1.22,1
Ashton,Dulin,WR,WR,IND,28,72,Normal,92,61,73,17,35,83,73,41,14,35,18,14,45,33,3.25,1
Kevin,Givens,DL,DL,SF,28,73,Normal,73,88,80,6,25,32,6,82,24,77,20,20,45,45,,
Stephen,Carlson,TE,TE,CHI,28,60,Normal,79,70,54,10,25,76,54,37,21,39,21,19,60,60,1.15,1
D.J.,Montgomery,WR,WR,IND,28,64,Normal,90,53,57,11,25,75,64,37,23,37,17,16,55,27,,
Sam,Mustipher,OL,OL,TEN,29,70,Normal,61,83,85,6,30,25,8,37,14,38,25,25,72,72,,
Jonathan,Harris,DL,DL,MIN,29,66,Normal,70,81,68,6,21,27,8,78,38,76,12,11,45,45,,
Yosh,Nijman,OL,OL,CAR,29,69,Normal,73,87,82,6,35,25,8,44,23,39,18,28,66,74,,
Jake,Browning,QB,QB,CIN,29,68,Normal,79,57,70,80,87,39,17,19,12,22,59,47,11,11,1.33,1
Patrick,Mekari,OL,OL,JAX,28,76,Normal,72,85,86,6,22,22,8,34,10,30,22,20,77,79,12.5,2
Andre,James,OL,OL,LAC,28,74,Normal,67,83,75,6,25,29,10,32,14,24,22,21,74,81,1.3,1
Mecole,Hardman,WR,WR,GB,27,74,Normal,95,60,65,41,56,83,72,45,44,41,44,32,42,23,1.38,1
Nick,Allegretti,OL,OL,WAS,29,74,Normal,67,83,87,6,23,42,12,41,12,35,22,17,76,79,3.79,1
Azeez,Al-Shaair,LB,LB,HOU,28,80,Normal,86,77,84,6,27,61,13,89,65,86,16,20,45,45,18.0,2
Matthew,Wright,K,K,CAR,29,71,Normal,73,44,54,22,24,20,14,27,14,20,95,75,17,17,,
Joey,Slye,K,K,TEN,29,72,Normal,71,66,56,28,29,35,10,31,12,20,98,72,19,16,2.0,1
Del'Shawn,Phillips,LB,LB,LAC,28,65,Normal,87,72,68,6,25,65,10,76,59,80,15,14,45,45,3.75,1
Olamide,Zaccheaus,WR,WR,CHI,28,73,Normal,90,54,75,13,31,87,76,35,19,32,13,15,48,35,2.25,1
Diontae,Johnson,WR,WR,CLE,29,76,Star,89,61,67,43,53,84,77,29,18,26,52,52,47,28,,
Kyler,Murray,QB,QB,ARI,28,79,Star,92,59,72,83,90,50,15,34,20,20,19,15,13,12,1.3,1
T.J.,Hockenson,TE,TE,MIN,28,88,Superstar,83,80,93,15,28,94,74,46,32,54,38,34,64,59,10.25,1
Ed,Oliver,DL,DL,BUF,27,81,Star,82,89,84,6,25,31,10,84,26,81,15,12,45,45,17.0,3
Andre,Dillard,OL,OL,SF,29,69,Normal,73,86,79,6,30,22,10,36,14,31,22,21,76,68,,
Tytus,Howard,OL,OL,HOU,29,78,Normal,73,85,82,38,53,28,10,23,14,28,20,16,74,83,22.5,1
Kaleb,McGary,OL,OL,ATL,30,81,Normal,73,87,94,6,30,52,30,34,18,31,20,15,90,74,,
Jawaan,Taylor,OL,OL,KC,27,76,Normal,67,87,82,6,19,35,8,38,12,35,22,20,70,82,5.0,1
Cody,Ford,OL,OL,CIN,28,69,Normal,67,87,70,6,16,23,10,14,14,22,14,12,72,71,1.3,1
Jahlani,Tavai,LB,LB,NE,28,75,Normal,84,78,72,6,25,69,26,84,62,84,15,19,45,45,,
Erik,McCoy,OL,OL,NO,28,89,Superstar,74,89,95,6,22,30,8,35,12,24,22,21,93,83,12.0,4
Miles,Sanders,RB,RB,DAL,28,74,Normal,90,69,73,26,29,66,58,33,15,29,16,12,36,52,,
Max,Scharping,OL,OL,PIT,29,66,Normal,65,86,76,6,30,35,10,42,14,31,25,25,71,65,,
Zach,Allen,DL,DL,DEN,28,86,Star,76,94,93,6,22,50,25,85,41,82,15,12,50,49,25.5,3
Josh,Oliver,TE,TE,MIN,28,73,Normal,86,75,68,10,24,84,62,47,22,48,20,15,72,61,7.75,2
Devin,Singletary,RB,RB,NYG,28,75,Normal,87,70,73,16,24,70,54,37,14,29,14,10,31,56,1.3,1
Will,Grier,QB,QB,DAL,30,56,Normal,79,57,59,72,85,29,14,21,14,20,55,44,17,13,1.22,1
Hjalte,Froholdt,OL,OL,ARI,29,80,Normal,71,91,86,6,10,42,16,44,12,34,30,20,83,76,6.0,1
Tony,Pollard,RB,RB,TEN,28,86,Star,92,69,85,16,25,74,64,38,38,36,14,10,32,63,7.25,2
Drue,Tranquill,LB,LB,KC,30,84,Normal,88,77,93,6,22,59,22,86,68,86,16,20,45,45,3.5,1
Jarrett,Stidham,QB,QB,DEN,29,62,Normal,78,62,66,76,86,53,34,20,15,23,32,26,19,19,6.0,1
Matt,Gay,K,K,WAS,31,74,Normal,74,41,58,30,27,30,15,13,12,14,96,79,21,16,1.6,1
Blake,Cashman,LB,LB,MIN,29,83,Normal,88,70,85,6,25,50,10,89,72,85,19,14,45,45,7.5,2
Byron,Cowart,DL,DL,NYJ,29,66,Normal,68,85,63,9,20,40,10,77,24,76,16,12,45,45,,
Charles,Omenihu,DL,DL,KC,28,76,Star,74,83,87,6,28,46,16,78,41,80,15,15,45,45,4.0,1
Easton,Stick,QB,QB,ATL,30,62,Normal,85,65,65,76,83,27,18,23,14,25,29,28,21,14,1.3,1
Cole,Holcomb,LB,LB,PIT,29,78,Star,87,72,77,6,27,65,26,89,68,82,18,35,45,45,2.5,1
Scott,Miller,WR,WR,PIT,28,70,Normal,94,54,64,28,35,84,73,27,22,27,17,13,46,26,1.3,1
Dennis,Daley,OL,OL,JAX,29,64,Normal,67,82,76,6,33,27,10,41,12,28,21,11,72,65,,
Kaden,Elliss,LB,LB,ATL,30,82,Normal,86,75,88,41,66,52,15,88,62,86,19,15,45,45,11.0,2
Joshua,Miles,OL,OL,CHI,29,55,Normal,64,85,58,6,13,30,10,45,12,29,16,11,63,62,,
Matt,Nelson,OL,OL,MIN,29,54,Normal,67,75,68,6,16,43,24,68,12,66,21,11,63,60,,
Donald,Parham,TE,TE,PIT,28,68,Normal,85,71,69,10,30,81,63,38,18,36,21,19,58,58,,
Trenton,Irwin,WR,WR,JAX,29,70,Normal,88,66,74,17,25,86,74,29,18,26,22,21,49,33,,
Tyrel,Dodson,LB,LB,MIA,27,74,Normal,89,74,70,6,34,60,8,83,75,83,18,13,45,45,3.12,1
Blake,Hance,OL,OL,TEN,29,64,Normal,70,85,75,6,30,43,24,43,14,32,22,21,72,60,,
Tyree,Jackson,TE,TE,WAS,27,56,Normal,82,74,56,69,93,73,51,40,15,34,26,14,52,54,,
Chase,McLaughlin,K,K,TB,29,79,Normal,73,39,66,26,41,40,10,20,18,16,95,85,15,10,4.1,2
Joe,Giles-Harris,LB,LB,CIN,28,64,Normal,83,69,60,6,25,53,24,81,52,81,18,13,45,45,1.24,1
Ryan,Bates,OL,OL,CHI,28,71,Normal,67,86,75,6,17,20,8,31,12,27,15,12,72,74,,
Sua,Opeta,OL,OL,TB,29,66,Normal,71,92,70,6,27,28,11,48,16,46,24,22,66,66,,
T.J.,Edwards,LB,LB,CHI,29,81,Normal,85,72,85,36,42,72,10,89,71,86,20,20,45,45,10.0,1
Carl,Granderson,DL,DL,NO,28,80,Normal,81,80,81,6,24,38,12,88,38,82,18,14,45,45,13.0,3
Lil'Jordan,Humphrey,WR,WR,NYG,27,68,Normal,84,67,76,32,40,84,70,31,16,29,17,12,58,29,1.49,1
Shy,Tuttle,DL,DL,CAR,29,71,Normal,75,82,68,6,16,44,9,84,24,80,15,12,45,45,1.4,1
Luke,Gifford,LB,LB,SF,30,66,Normal,86,75,63,33,44,65,13,79,58,79,17,18,45,45,2.5,1
Malik,Taylor,WR,WR,DET,29,65,Normal,88,59,60,22,30,80,68,44,18,43,19,14,52,32,,
Greg,Dortch,WR,WR,ARI,27,73,Normal,90,43,74,23,38,87,72,23,22,21,19,14,40,25,1.4,1
Devin,Bush,LB,LB,CLE,27,75,Normal,87,74,77,6,14,63,9,87,64,86,12,13,45,45,10.0,2
Elgton,Jenkins,OL,OL,GB,29,87,Star,74,89,90,6,24,26,8,38,14,41,19,14,75,87,12.0,1
Andy,Isabella,WR,WR,SF,28,67,Normal,92,57,55,10,26,79,68,23,16,20,18,12,50,34,,
Darius,Slayton,WR,WR,NYG,28,77,Normal,94,57,79,10,24,80,80,30,24,28,17,13,42,27,12.0,2
Ty,Johnson,RB,RB,BUF,27,73,Normal,90,64,78,15,23,67,56,31,14,31,13,16,31,54,2.5,1
Craig,Reynolds,RB,RB,DET,29,68,Normal,89,66,74,22,31,67,56,29,18,30,18,13,31,49,,
Garrett,Bradbury,OL,OL,NE,30,75,Star,73,90,85,6,30,56,22,44,14,42,21,20,79,71,4.7,1
Travis,Homer,RB,RB,CHI,27,69,Normal,91,62,73,16,25,69,52,35,18,36,19,14,34,55,1.3,1
Alex,Bachman,WR,WR,LV,29,64,Normal,88,61,57,10,26,79,67,33,23,28,23,17,47,27,,
Troy,Reeder,LB,LB,LAR,30,68,Normal,87,77,71,6,25,57,13,78,56,80,16,18,45,45,,
Chandler,Brewer,OL,OL,TEN,28,58,Normal,66,88,58,10,27,34,10,33,14,18,25,25,62,64,,
Jonah,Williams,OL,OL,ARI,27,74,Normal,69,85,87,6,30,34,10,39,18,43,14,16,76,77,1.4,1
Chris,Lindstrom,OL,OL,ATL,28,94,Star,76,92,98,6,23,26,10,32,12,26,25,25,98,84,20.5,4
Drew,Sample,TE,TE,CIN,29,68,Normal,82,73,67,15,26,77,61,43,20,48,15,14,65,61,3.5,2
L.J.,Collier,DL,DL,ARI,30,69,Normal,77,83,74,6,23,40,8,80,22,78,16,10,45,45,2.0,1
Parris,Campbell,WR,WR,DAL,28,71,Normal,92,56,63,10,26,82,72,38,20,34,14,12,50,43,,
Josh,Hines-Allen,DL,DL,JAX,28,90,Superstar,88,83,95,6,24,74,42,86,57,86,15,17,45,45,28.25,4
Jeffery,Simmons,DL,DL,TEN,28,92,X-Factor,78,97,91,6,20,27,12,86,34,90,15,16,45,45,35.28,2
Montez,Sweat,DL,DL,CHI,29,81,Star,88,80,75,6,22,57,36,88,38,83,14,16,45,45,24.5,3
Khalen,Saunders,DL,DL,NO,29,71,Normal,72,84,73,6,25,49,24,82,22,77,18,12,45,45,,
Terry,McLaurin,WR,WR,WAS,29,94,Superstar,96,67,97,10,32,98,91,41,20,44,16,14,50,37,29.0,2
Marquise,Brown,WR,WR,KC,28,80,Star,94,44,75,22,42,86,79,18,22,17,19,16,41,23,5.0,1
Greg,Gaines,DL,DL,TB,29,73,Normal,71,87,81,6,31,39,21,78,20,80,19,12,45,45,,
David,Edwards,OL,OL,BUF,28,75,Normal,68,82,87,34,40,46,20,39,12,35,21,11,77,76,15.25,3
Cody,Barton,LB,LB,TEN,28,79,Normal,85,78,87,6,22,72,24,87,63,82,16,20,45,45,7.0,2
Jerry,Tillery,DL,DL,KC,28,71,Normal,75,85,72,6,19,30,6,82,25,79,27,24,51,52,1.49,1
A.J.,Brown,WR,WR,PHI,28,93,Superstar,91,79,89,29,41,97,90,23,22,25,17,16,57,41,32.0,2
Connor,McGovern,OL,OL,BUF,27,78,Star,69,87,90,10,30,35,10,40,14,18,25,25,77,80,13.1,3
Quincy,Williams,LB,LB,NYJ,29,82,Normal,88,67,85,6,25,63,10,89,70,90,19,19,29,21,6.5,1
David,Montgomery,RB,RB,DET,28,84,Normal,88,77,92,35,47,74,58,30,12,26,17,12,46,61,8.25,1
Michael,Deiter,OL,OL,WAS,29,66,Normal,69,86,78,6,22,30,13,38,18,34,17,12,68,71,1.22,1
Bobby,Okereke,LB,LB,NYG,29,86,Superstar,88,73,88,6,25,70,10,89,74,87,17,14,45,45,,
Dawson,Knox,TE,TE,BUF,28,77,Normal,86,72,76,23,41,84,66,31,14,26,14,12,65,63,6.67,2
Clelin,Ferrell,DL,DL,WAS,28,75,Normal,83,83,79,6,26,46,8,82,31,81,19,13,45,45,,
Germaine,Pratt,LB,LB,LV,29,79,Normal,88,76,87,6,25,72,30,83,68,82,28,18,45,45,,
Chuma,Edoga,OL,OL,JAX,28,68,Normal,70,84,75,6,23,29,11,36,14,31,40,30,72,69,3.5,1
Josh,Jacobs,RB,RB,GB,27,90,Superstar,90,83,92,30,36,72,52,34,26,30,15,10,39,59,12.0,3
Miles,Boykin,WR,WR,CHI,28,71,Normal,90,68,74,24,37,83,72,28,18,27,16,11,57,34,,
Drew,Lock,QB,QB,SEA,28,66,Normal,83,68,68,78,89,42,23,22,15,22,18,12,24,13,2.5,1
Devin,White,LB,LB,LV,27,70,Normal,88,76,65,6,23,69,18,78,62,84,18,14,45,45,,
Daniel,Jones,QB,QB,IND,28,69,Normal,87,67,59,82,87,38,13,24,16,22,60,50,15,15,44.0,1
Nick,Bosa,DL,DL,SF,27,95,X-Factor,80,94,95,6,25,45,12,89,36,90,17,17,45,45,34.0,4
Quinnen,Williams,DL,DL,NYJ,27,91,X-Factor,84,92,92,6,23,34,9,88,24,86,17,17,45,44,24.0,3
Brett,Toth,OL,OL,PHI,29,53,Normal,68,81,52,6,30,33,15,32,14,24,20,15,63,59,2.5,1
Malcolm,Roach,DL,DL,DEN,27,73,Normal,74,83,78,6,26,49,25,82,30,77,25,25,48,50,8.77,2
Calvin,Throckmorton,OL,OL,DEN,29,68,Normal,64,84,78,6,30,39,22,49,18,58,22,21,70,71,1.22,1
Benito,Jones,DL,DL,MIA,27,68,Normal,69,86,74,6,23,37,8,79,24,76,20,20,45,45,1.6,1
Chris,Williams,DL,DL,CHI,27,64,Normal,67,84,60,6,14,28,9,78,14,78,21,17,45,45,2.0,1
Andre,Baccellia,WR,WR,ARI,28,61,Normal,94,51,55,21,36,72,60,20,19,20,17,14,32,30,,
Tershawn,Wharton,DL,DL,CAR,27,76,Star,79,87,84,6,25,36,6,80,24,80,20,20,45,45,15.02,2
Cody,White,WR,WR,SEA,26,61,Normal,83,69,67,12,30,79,68,37,23,36,22,16,52,40,1.15,1
Joe,Bachie,LB,LB,IND,27,66,Normal,82,76,61,6,22,60,32,82,53,79,16,20,48,47,1.22,1
Cole,Christiansen,LB,LB,KC,28,61,Normal,82,73,60,6,25,57,20,79,50,78,18,13,45,48,1.22,1
Eric,Banks,DL,DL,TB,27,58,Normal,72,74,58,35,43,35,7,77,36,77,17,12,45,45,,
Christian,Rozeboom,LB,LB,CAR,28,73,Normal,82,67,79,6,22,70,16,81,68,82,16,20,45,45,1.55,1
Jonah,Williams,DL,DL,NO,30,67,Normal,78,82,66,9,23,37,15,81,18,78,17,13,45,46,1.4,1
Myles,Adams,DL,DL,DET,27,65,Normal,66,80,70,6,25,29,10,75,20,78,15,10,45,45,1.15,1
Giovanni,Ricci,TE,TE,MIN,28,62,Normal,78,69,60,33,41,68,52,31,17,32,20,22,55,60,,
Patrick,Taylor,RB,RB,SF,27,61,Normal,87,67,68,20,26,67,51,37,14,41,20,16,39,43,1.22,1
Trystan,Colon,OL,OL,DET,27,68,Normal,71,80,76,6,22,30,8,35,12,24,22,21,73,76,1.22,1
Salvon,Ahmed,RB,RB,IND,26,69,Normal,91,62,68,20,30,65,53,31,29,30,16,10,30,54,1.22,1
Sean,McKeon,TE,TE,IND,27,63,Normal,83,72,59,10,30,79,60,52,18,42,21,19,59,59,1.22,1
Terence,Steele,OL,OL,DAL,28,73,Normal,75,88,77,6,22,41,18,32,18,22,17,12,83,66,11.0,2
Juwan,Johnson,TE,TE,NO,28,74,Normal,87,69,70,25,36,82,66,34,23,38,29,25,62,58,10.25,2
Tyler,Mabry,TE,TE,CAR,28,60,Normal,75,73,62,10,24,78,52,37,17,31,15,11,60,58,,
Broderick,Washington,DL,DL,BAL,28,71,Normal,70,83,76,6,27,23,6,79,22,78,17,13,57,55,5.25,2
Bill,Murray,OL,OL,CHI,28,64,Normal,67,82,71,6,11,24,10,30,12,24,15,12,67,69,,
J.J.,Taylor,RB,RB,HOU,27,66,Normal,85,64,61,15,24,67,54,34,26,34,14,16,26,51,,
Nick,Leverett,OL,OL,ARI,27,68,Normal,67,85,76,6,22,28,8,34,10,29,16,11,68,75,1.22,1
Brandon,Walton,OL,OL,CAR,27,62,Normal,61,85,73,6,20,25,8,25,11,26,14,14,66,69,1.15,1
Nnamdi,Madubuike,DL,DL,BAL,27,93,X-Factor,81,95,93,6,16,44,9,96,24,86,15,12,45,45,24.5,3
Ben,Bredeson,OL,OL,TB,27,69,Normal,71,86,78,6,17,12,8,20,10,16,19,16,71,73,7.33,2
Rico,Dowdle,RB,RB,CAR,27,80,Star,88,75,84,31,39,68,52,36,18,30,25,23,49,55,6.12,1
Lawrence,Cager,TE,TE,WAS,28,65,Normal,87,69,57,15,29,78,60,31,14,29,17,12,57,51,1.15,1
Kristian,Welch,LB,LB,GB,27,63,Normal,85,75,63,21,20,57,24,79,57,80,16,20,45,48,1.31,1
J.K.,Dobbins,RB,RB,DEN,26,82,Normal,90,74,80,23,32,66,53,30,15,33,19,16,41,58,8.0,1
Tyler,Bass,K,K,BUF,28,74,Normal,85,40,59,30,27,35,10,29,12,22,97,77,12,17,3.38,1
Isaiah,Hodgins,WR,WR,SF,26,71,Normal,87,60,72,17,26,86,72,38,29,36,19,15,53,33,1.24,1
Aaron,Brewer,OL,OL,MIA,27,77,Normal,74,79,85,6,12,31,21,31,16,20,14,12,84,74,7.0,2
Teair,Tart,DL,DL,LAC,28,75,Normal,71,88,80,6,29,34,8,82,18,78,17,13,45,45,10.0,2
Nick,Westbrook-Ikhine,WR,WR,MIA,28,75,Normal,90,64,81,15,31,84,77,32,16,34,19,15,58,34,1.4,1
A.J.,Epenesa,DL,DL,BUF,26,76,Normal,79,85,82,6,24,53,20,82,24,81,22,15,45,45,1.4,1
Charlie,Heck,OL,OL,TB,28,63,Normal,67,84,77,6,12,35,23,36,14,39,10,12,69,65,1.4,1
Mike,Onwenu,OL,OL,NE,27,82,Star,66,91,86,6,21,26,12,25,20,30,15,16,82,81,,
LaCale,London,DL,DL,ATL,28,64,Normal,72,83,60,6,24,25,6,76,19,76,22,15,45,45,2.75,1
Tua,Tagovailoa,QB,QB,MIA,27,82,Star,83,61,76,92,87,32,15,28,14,28,21,14,22,16,1.22,1
